MN001|Makanan Utama|Nasi Goreng Spesial|25000.00|Nasi goreng dengan telur dan ayam suwir|1
MN002|Makanan Utama|Mie Goreng Jawa|22000.00|Mie goreng bumbu desa pedas manis|1
MN003|Makanan Utama|Ayam Bakar Madu|28000.00|Ayam bakar bumbu madu + lalapan|1
MN004|Makanan Utama|Sate Ayam Lontong|30000.00|Sate ayam 10 tusuk dengan bumbu kacang|1
MN005|Makanan Utama|Soto Ayam Lamongan|20000.00|Soto ayam kuah kuning segar|1
MN006|Makanan Utama|Nasi Uduk Komplit|18000.00|Nasi uduk dengan bihun dan tempe orek|1
MN007|Makanan Utama|Gado-Gado Betawi|18000.00|Sayuran rebus dengan bumbu kacang|1
MN008|Makanan Utama|Rendang Sapi|35000.00|Daging sapi masak bumbu rempah padang|1
MN009|Makanan Utama|Nasi Putih|5000.00|Nasi putih pulen|1
MN010|Western Food|Burger Sapi Keju|35000.00|Burger daging sapi asli dengan keju|1
MN011|Western Food|Spaghetti Bolognese|30000.00|Pasta spaghetti saus daging tomat|1
MN012|Snack|Kentang Goreng|15000.00|Kentang goreng renyah asin gurih|1
MN013|Snack|Roti Bakar Coklat|12000.00|Roti tawar bakar isi coklat lumer|1
MN014|Snack|Pisang Keju|12000.00|Pisang bakar tabur keju susu|1
MN015|Minuman|Es Teh Manis|5000.00|Teh manis dingin segar|1
MN016|Minuman|Es Jeruk Peras|8000.00|Perasan jeruk murni dingin|1
MN017|Minuman|Kopi Hitam Panas|10000.00|Kopi hitam robusta asli|1
MN018|Minuman|Es Kopi Susu|18000.00|Kopi susu gula aren kekinian|1
MN019|Minuman|Jus Alpukat|15000.00|Jus alpukat kental dengan susu coklat|1
MN021|makanan|ayamgorengrebus|10000.00|ayam|1
MN022|minumam|airminumajaib|10000.00|asjkdansdc|1
MN020|Minuman|Air Mineral|4000.00|Airmineralbotol600ml|0
MN023|ajkscn|mnashdban|782736.00|ajkscjsad|1
